date,industry,lprod,gva,labour
2001,E: 36 to 39,163.941,115.8741,70.6804
2002,E: 36 to 39,163.066,111.9046,68.6253
2003,E: 36 to 39,171.5035,116.0133,67.6448
2004,E: 36 to 39,162.1343,108.1724,66.7177
2005,E: 36 to 39,160.8632,111.5281,69.331
2006,E: 36 to 39,144.7873,103.2084,71.2828
2007,E: 36 to 39,138.4398,102.1157,73.7619
2008,E: 36 to 39,133.0598,101.8047,76.5105
2009,E: 36 to 39,139.7668,104.0268,74.4289
2010,E: 36 to 39,125.2029,99.824,79.7298
2011,E: 36 to 39,105.5729,93.2763,88.3525
2012,E: 36 to 39,98.7505,89.2454,90.3746
2013,E: 36 to 39,100.2968,88.5824,88.3203
2014,E: 36 to 39,100.9698,91.7253,90.8443
2015,E: 36 to 39,109.0095,95.9895,88.0561
2016,E: 36 to 39,105.822,98.6127,93.1874
2017,E: 36 to 39,97.3662,99.1897,101.8728
2018,E: 36 to 39,95.2296,100.311,105.336
2019,E: 36 to 39,100.0,100.0,100.0
2020,E: 36 to 39,108.0633,104.7553,96.9388
2021,E: 36 to 39,106.5635,112.899,105.9453
1997,F: 41 to 43,106.8613,87.929,82.2833
1998,F: 41 to 43,109.6984,92.6801,84.4863
1999,F: 41 to 43,115.8904,97.9747,84.5408
2000,F: 41 to 43,114.7919,98.2143,85.5586
2001,F: 41 to 43,112.53,97.7046,86.8254
2002,F: 41 to 43,112.0761,98.1109,87.5395
2003,F: 41 to 43,109.3071,96.7813,88.5407
2004,F: 41 to 43,106.3863,96.3204,90.5383
2005,F: 41 to 43,103.325,95.6905,92.6111
2006,F: 41 to 43,102.7031,96.3204,93.7853
2007,F: 41 to 43,97.9147,94.5331,96.5464
2008,F: 41 to 43,91.6426,87.8801,95.8944
2009,F: 41 to 43,82.5868,75.4941,91.4118
2010,F: 41 to 43,96.879,84.885,87.6196
2011,F: 41 to 43,102.1156,87.4096,85.5987
2012,F: 41 to 43,100.9778,86.2235,85.3885
2013,F: 41 to 43,103.0474,90.129,87.4637
2014,F: 41 to 43,101.0175,93.2299,92.2908
2015,F: 41 to 43,104.0527,97.2726,93.484
2016,F: 41 to 43,100.5139,96.0896,95.5983
2017,F: 41 to 43,100.7307,100.2268,99.4998
2018,F: 41 to 43,98.5213,98.5429,100.0219
2019,F: 41 to 43,100.0,100.0,100.0
2020,F: 41 to 43,105.6241,86.4607,81.857
2021,F: 41 to 43,107.6435,97.8272,90.8807
